DATE,USAUCSFRCONDOSMSAMID
2008-01-01,202009.8490640224
2008-02-01,200822.9953450102
2008-03-01,199488.6220338999
2008-04-01,198048.16543613863
2008-05-01,196550.09727963028
2008-06-01,194974.455116951
2008-07-01,193297.71575975965
2008-08-01,191438.29861206855
2008-09-01,189556.8530668368
2008-10-01,187720.3993904666
2008-11-01,185923.3449255581
2008-12-01,184142.31392031725
2009-01-01,182404.74114113185
2009-02-01,180923.15911188614
2009-03-01,179564.3868573381
2009-04-01,178283.85277248814
2009-05-01,176989.09069039032
2009-06-01,175769.46361810688
2009-07-01,174664.8703243926
2009-08-01,173643.10895545516
2009-09-01,172704.3216338686
2009-10-01,171937.3080392223
2009-11-01,171504.34529845123
2009-12-01,171310.25522550216
2010-01-01,171247.02480958545
2010-02-01,171177.79176730462
2010-03-01,171174.33865981514
2010-04-01,171277.2436983943
2010-05-01,171336.76308151698
2010-06-01,171195.4587010472
2010-07-01,170660.67860770435
2010-08-01,169870.60683833176
2010-09-01,168891.20225146253
2010-10-01,167878.7379927496
2010-11-01,166850.88386314528
2010-12-01,165894.3363533696
2011-01-01,165008.45752616684
2011-02-01,164187.8280475347
2011-03-01,163406.3713431775
2011-04-01,162589.02724987597
2011-05-01,161727.96670947582
2011-06-01,160884.30794067323
2011-07-01,160172.96690763748
2011-08-01,159575.2772112633
2011-09-01,159062.37406966163
2011-10-01,158557.82675751986
2011-11-01,158128.8391236671
2011-12-01,157756.16683693786
2012-01-01,157528.883755403
2012-02-01,157510.45362172532
2012-03-01,157719.79669132025
2012-04-01,158077.0894919917
2012-05-01,158514.64012532317
2012-06-01,159038.46634836346
2012-07-01,159610.11998564666
2012-08-01,160100.2177699729
2012-09-01,160659.9969061783
2012-10-01,161264.95158987152
2012-11-01,161987.65498121202
2012-12-01,162743.7978161867
2013-01-01,163611.21217826768
2013-02-01,164543.0394687918
2013-03-01,165515.49159105707
2013-04-01,166573.77337352777
2013-05-01,167810.71950918762
2013-06-01,169184.68449700155
2013-07-01,170430.5491920477
2013-08-01,171644.9396759759
2013-09-01,172753.6352464255
2013-10-01,173983.176119075
2013-11-01,174989.4256528879
2013-12-01,175910.57695072182
2014-01-01,176714.37513078202
2014-02-01,177572.07201858703
2014-03-01,178437.79146726857
2014-04-01,179306.7994756412
2014-05-01,180299.31186230117
2014-06-01,181179.18077470976
2014-07-01,182043.3873177748
2014-08-01,182705.0758405927
2014-09-01,183325.1843990773
2014-10-01,183734.0932547587
2014-11-01,184267.93083711166
2014-12-01,184920.81948578227
2015-01-01,185724.67423894207
2015-02-01,186524.80641436903
2015-03-01,187337.74449359186
2015-04-01,188226.62679482045
2015-05-01,189207.2083135266
2015-06-01,190148.93055778858
2015-07-01,191122.00529789785
2015-08-01,192142.6174939639
2015-09-01,193271.17751921722
2015-10-01,194457.26506304726
2015-11-01,195522.62695211466
2015-12-01,196582.74051710483
2016-01-01,197725.21885092408
2016-02-01,198862.36020184972
2016-03-01,199708.47713863186
2016-04-01,200482.09261690584
2016-05-01,201259.4831589471
2016-06-01,202206.41775940673
2016-07-01,202927.06484758086
2016-08-01,203604.60448330804
